company,property,location,area,id
深圳市万科云城房地产,万科云城（一期）,南山区石鼓路,深房许字（2018）南山,
深圳市大新常盛投资有,枫叶望海公馆,南山区望海路,深房许字（2018）南山,
粤海置地（深圳）有限,悦彩城,深圳市罗湖区东晓街道,深房许字（2018）罗湖,
深圳市和谷投资有限公,和谷山汇城,宝安区燕罗街道,深房许字（2018）宝安,
深圳市松茂房地产集团,松茂柏景湾公馆,宝安西乡街道,深房许字（2018）宝安,
深圳市岗隆实业有限公,勤诚达正大城花园一期,光明区光侨路南侧、元,深房许字（2018）光明,
深圳市天荣盛房地产开,天汇时代花园二期,光明区长春路东侧、振,深房许字（2018）光明,
深圳机场地产有限公司,领航城领誉华府,宝安区西乡街道,深房许字（2018）宝安,
深圳市西城房地产开发,万科星城名邸,宝安区新桥街道,深房许字（2018）宝安,
深圳市麟恒投资发展有,东城中心花园（三期）,横岗街道龙岗大道北面,深房许字（2018）龙岗,
深圳市西城房地产开发,万科星城上郡,宝安区新桥街道,深房许字（2018）宝安,
深圳市西城房地产开发,万科星城华府,宝安区新桥街道,深房许字（2018）宝安,
深圳华强永兴投资有限,华强城市花园（一期）,宝安区福海街道,深房许字（2018）宝安,
深圳市大族云峰投资有,大族云峰花园5号楼、6,坂雪岗大道与永香路交,深房许字（2018）龙岗,
深圳市华联置业集团有,华联城市商务中心,南山大道西面东滨路北,深房许字（2018）南山,
深圳市名爵房地产开发,万科香蜜府,深圳市福田区安托山四,深房许字（2018）福田,
深圳市天就房地产开发,玺园,深圳市宝安区观澜镇清,深房许字（2018）龙华,
深圳卓越青浦房地产开,誉珑豪轩,宝安区沙井街道,深房许字（2018）宝安,
深圳泛亚房地产开发有,中骏云景华府,龙岗区龙岗街道,深房许字（2018）龙岗,
深圳冠懋房地产集团有,蓝郡公馆大厦,盐田区沙头角街道沙深,深房许字（2018）盐田,
深圳市桂芳园实业有限,佳兆业金御雅园（1栋）,龙岗区平湖街道平安大,深房许字（2018）龙岗,
深圳市桂芳园实业有限,佳兆业君汇公馆（2栋）,龙岗区平湖街道平安大,深房许字（2018）龙岗,
深圳市桂芳园实业有限,佳兆业君汇公馆（2栋）,龙岗区平湖街道平安大,深房许字（2018）龙岗,
深圳市桂芳园实业有限,佳兆业君汇公馆（1栋）,龙岗区平湖街道平安大,深房许字（2018）龙岗,
深圳市蛇口海滨置业有,太子湾商贸大厦,南山区招商街道规划望,深房许字（2018）南山,
深圳市碧海投资发展有,京基御景时代大厦,深圳市龙岗区龙城街道,深房许字（2018）龙岗,
深圳市泰富华澜湾置业,奥园·翡翠东湾二,坪山区金牛东路以南、,深房许字（2018）坪山,
深圳市天安中益实业有,凤凰智谷大厦,宝安区西乡街道铁仔路,深房许字（2018）宝安,
宝吉工艺品（深圳）有,佳兆业中央广场二期,龙岗区坂田街道坂雪岗,深房许字（2018）龙岗,
深圳市大族云峰投资有,大族云峰花园3号楼,坂雪岗大道与永香路交,深房许字（2018）龙岗,
深圳市百年春投资发展,嘉洲商务中心（A007-0,宝安区新安街道,深房许字（2018）宝安,
华润置地（深圳）有限,华润城华润置地大厦（,南山区粤海街道深南大,深房许字（2018）南山,
深圳市皇城地产有限公,金领假日公寓,滨河大道与福田南路交,深房许字（2018）福田,
深圳市蛇口海滨置业有,太子湾商务大厦,南山区招商街道规划望,深房许字（2018）南山,
深圳市蛇口海滨置业有,太子湾商贸大厦,南山区招商街道规划望,深房许字（2018）南山,
深圳市德瀚投资发展有,招商开元中心,深圳市罗湖区红岭北路,深房许字{2018}罗湖00,
深圳市奥星房地产开发,星河天地花园一期,光明区东周一街（暂定,深房许字（2018）光明,
中国中电国际信息服务,中电迪富大厦,深圳市福田区振华路和,深房许字（2018）福田,
中国中电国际信息服务,中电迪富大厦,深圳市福田区振华路和,深房许字（2018）福田,
深圳市汇东房地产投资,银领公馆,深圳市龙岗区南湾街道,深房许字（2018）龙岗,
中国中电国际信息服务,中电迪富大厦,深圳市福田区振华路和,深房许字（2018）福田,
深圳麓园房地产开发有,麓园,龙岗区龙城街道回龙埔,深房许字（2018）龙岗,
深圳市安宏基房地产开,安宏基天曜广场,龙华区新区大道与中梅,深房许字（2018）龙华,
深圳市深业中城有限公,深业中城（B302-0040）,深圳市福田区红荔西路,深房许字（2018）福田,
深圳市深城投置业有限,深城投中城花园,坪山区坪山六和社区，,深房许字（2018）坪山,
深圳朗泓房地产有限公,龙园大观花园二期1栋、,龙岗区龙岗街道新生路,深房许字（2018）龙岗,
深圳市盐田佳兆业房地,佳兆业山海城家园（一,盐田区盐田街道洪安路,深房许字（2018）盐田,
深圳朗泓房地产有限公,龙园大观花园二期3栋,龙岗区龙岗街道新生路,深房许字（2018）龙岗,
深圳市金碧房地产开发,凤凰公馆,坪山区碧岭街道坪山大,深房许字（2018）坪山,
深圳华侨城房地产有限,华侨城大厦,南山区沙河街道深南大,深房许字（2018）南山,
深圳市汇海置业有限公,中洲滨海华府一期,福田区沙头上沙社区上,深房许字（2018）福田,
深圳富茅房地产开发有,实地剑兰郡,深圳市罗湖区红桂路红,深房许字（2018）罗湖,
深圳华侨城房地产有限,香山里花园五期,南山区华侨城西北片区,深房许字（2018）南山,
深圳市德欣房地产开发,宝泰雅苑,龙华区民治梅龙路西侧,深房许字（2018）龙华,
深圳市蛇口海滨置业有,太子湾商务大厦,南山区招商街道规划望,深房许字（2018）南山,
深圳市蛇口海滨置业有,太子湾商贸大厦,南山区招商街道办规划,深房许字（2018）南山,
深圳市蛇口海滨置业有,太子湾商务大厦,南山区招商街道规划望,深房许字（2018）南山,
深圳中维菁山房地产开,泰禾广场,坪山区坪山大道与金环,深房许字(2018)坪山00,
深圳市京基房地产股份,长源京基御景峯公馆,南山区桃源街道留仙大,深房许字（2018）南山,
深圳市红荷缇居房地产,颐安都会中央花园（Ⅲ,深圳市龙岗区红棉路与,深房许字（2018）龙岗,
深业泰富物流集团股份,深业泰富广场（一期）,罗湖区笋岗街道梨园路,深房许字（2018）罗湖,
华润置地前海有限公司,前海华润金融中心T201,前海合作区二单元2街坊,深房许字（2018）前海,
深圳市国速房地产开发,国速世纪大厦,深圳市罗湖区桂园街道,深房许字（2018）罗湖,
深圳市地铁集团有限公,深湾汇云中心四期,南山区白石三道,深房许字（2018）南山,
深圳市横岗佳兆业投资,佳兆业未来花园（1栋、,龙岗区大运新城如意路,深房许字（2018）龙岗,
华润置地（深圳）有限,华润城润府三期（三期,南山区粤海街道铜鼓路,深房许字（2018）南山,
深圳市瑞恒投资发展有,勤诚达乐园,宝安区新安街道,深房许字（2018）宝安,
深圳市地铁集团有限公,地铁锦上花园,龙岗区横岗街道,深房许字（2018）龙岗,
深圳天安云谷投资发展,天安云谷产业园二期4栋,龙岗区岗头社区雪岗北,深房许字（2018）龙岗,
深圳市龙光骏景房地产,龙光玖钻商务中心,民治街道办,深房许字（2018）龙华,
深圳市龙光骏景房地产,龙光玖钻商务中心,龙华区民治街道,深房许字（2018）龙华,
深圳市明泰润投资发展,水贝珠宝总部大厦,深圳市罗湖区东晓街道,深房许字（2018）罗湖,
深圳市盐田港置业有限,半山悦海花园,深圳市盐田区沙头角梧,深房许字（2018）盐田,
深圳市乐安房地产有限,远洋新天地水岸花园,深圳市龙岗区龙城街道,深房许字（2018）龙岗,
深圳市华茂嘉投资有限,琳珠华庭,龙岗区龙城街道爱联社,深房许字（2018）龙岗,
深圳市怡瑞达实业有限,怡瑞达乐郡,深圳市龙岗区龙岗宝龙,深房许字（2018）龙岗,
深圳市南头城同乐投资,乐尚林居,南山区中山园路西侧,深房许字（2018）南山,
深圳市淞江康纳投资有,金地凯旋广场,深圳市龙岗区龙岗街道,深房许字（2018）龙岗,
深圳市岗隆实业有限公,勤诚达正大城花园一期,深圳市光明新区玉塘街,深房许字（2018）光明,
深圳市市政工程总公司,天健公馆,安托山六路与四路交汇,深房许字（2018）福田,
深圳市前海景兴商业服,景兴海上广场一期,深圳市前海深港合作区,深房许字（2018）前海,
深圳市金亨利实业集团,金亨利瑜璟苑,民治街道梅龙路西侧,深房许字（2018）龙华,
深圳博林西岸置业有限,博林君瑞花园,深圳市宝安区沙井街道,深房许字（2018）宝安,
寰安置业（深圳）有限,前海嘉里商务中心二期,深圳市前海深港合作区,深房许字（2018）前海,
华润置地（深圳）有限,华润城华润置地大厦（,南山区粤海街道深南大,深房许字（2018）南山,
深圳市前海景兴物业管,景兴海上广场二期,深圳市前海深港合作区,深房许字（2018）前海,
深圳市前海景兴商业服,景兴海上广场二期,深圳市前海深港合作区,深房许字（2018）前海,
深圳市康达尔(集团)股,康达尔山海上园（二期,宝安区西乡街道,深房许字（2018）宝安,
华润置地（深圳）有限,华润城润府三期,南山区粤海街道铜鼓路,深房许字（2018）南山,
深圳市毅骏房地产开发,中海鹿丹名苑（A区）,罗湖区红岭南路与滨河,深房许字（2018）罗湖,
深圳市丹晟恒丰投资有,新彩苑,龙华区民治街道新区大,深房许字（2018）龙华,
深圳市天通万年房地产,凤凰天誉华府,宝安区西乡街道,深房许字（2018）宝安,
深圳市万科南苑房地产,万科蛇口公馆,南山区蛇口街道湾厦路,深房许字（2018）南山,
深圳市华茂嘉投资有限,琳珠华庭1栋,深圳市龙岗区龙翔大道,深房许字（2018）龙岗,
深圳市磐业科技开发有,融创智汇大厦,龙华区民治办事处,深房许字（2018）龙华,
深圳市宝安东海实业有,华海金湾公馆（A104-0,宝安区西乡街道,深房许字（2018）宝安,
深圳招商房地产有限公,海上世界双玺花园（三,南山区蛇口望海路南侧,深房许字（2018）南山,
深圳招商房地产有限公,海上世界双玺花园（三,南山区蛇口望海路南侧,深房许字（2018）南山,
深圳市沙浦巨帆投资有,满京华云著花园（一期,深圳市宝安区松岗街道,深房许字（2018）宝安,
深圳市耀领投资有限公,唐商大厦,深圳市宝安区新桥街道,深房许字（2018）宝安,
深圳市乐安房地产有限,远洋新天地水岸花园,深圳市龙岗区龙城街道,深房许字（2018）龙岗,
深圳市联建投资发展有,君钰府,宝安区新安街道,深房许字（2018）宝安,
深圳市隆新安居装修工,玖悦雅轩,宝安区新安街道,深房许字（2018）宝安,
深圳市凯丰实业有限公,龙光玖龙台（一期2、3,光明新区观光路与光明,深房许字（2018）光明,
深圳市宜泰置业发展有,深城投·中心公馆,坪山区坪山街道兰竹西,深房许字（2018）坪山,
深圳市万京投资有限公,恒大城市之光大厦,深圳市龙岗区龙城街道,深房许字（2018）龙岗,
深圳市碧海投资发展有,京基御景中央花园二期,深圳市龙岗区飞扬路与,深房许字（2018）龙岗,
深圳市赤湾房地产开发,山语海苑（二期）,赤湾少帝路南侧,深房许字（2018）南山,
深圳邦兆房地产开发有,凯旋天玺名庭,布吉街道新乐路19号旁,深房许字（2018）龙岗,
深圳市兴益合置业有限,智慧领寓,宝安区福永街道,深房许字（2018）宝安,
深圳市兴益合置业有限,菁英领寓,宝安区福永街道,深房许字（2018）宝安,
深圳市泰富华悦都会置,悦都会华庭,坪山区坪山街道比亚迪,深房许字（2018）坪山,
深圳市东方欣悦实业有,安托山花园（二期）,福田区安托山六路,深房许字（2018）福田,
深圳市泰富华澜湾置业,奥园·翡翠东湾二,坪山区金牛东路以南、,深房许字（2018）坪山,
深圳市深岛实业有限公,中航华府花园,布吉街道三联社区联中,深房许字（2018）龙岗,
深圳市乐安房地产有限,远洋新天地水岸花园,深圳市龙岗区龙城街道,深房许字（2018）龙岗,
建滔数码发展（深圳）,恒大时尚慧谷大厦,龙华区大浪街道福龙路,深房许字【2018】龙华,
深圳市承翰信息咨询有,陶柏莉花园（二期）,大鹏新区葵涌办事处丰,深房许字（2018）大鹏,
深圳市易尚数字技术发,易尚创意科技大厦,宝安中心区甲岸路与金,深房许字（2018）宝安,
深圳市家乐实业发展公,宝树台,福田区振中路与燕南路,深房许字（2018）福田,
深圳市鹏华达实业有限,鹏华世家华府,龙岗区平湖街道,深房许字（2017）龙岗,
深圳市鹏城瑞泰投资有,天玑公馆,龙华街道办事处,深房许字【2017】龙华,
深圳市浩瀚盈实业有限,家天下花园(一期),深圳是大鹏新区葵涌办,深房许字（2017）大鹏,
深圳招商华侨城投资有,红山六九七九商业中心,深圳市龙华区民治街道,深房许字（2017）龙华,
深圳市财富城投资有限,财富城（一期）,深圳市坪山区兰竹西路,深房许字（2017）坪山,
深圳市兆鑫房地产开发,汇金天琅大厦,罗湖区南湖街道深南东,深房许字（2017）罗湖,
深圳市比亚迪实业发展,亚迪三村,坪山区锦绣中路与翠景,深房许字（2017）坪山,
前海世茂发展（深圳）,前海世茂金融中心二期,深圳市前海深港合作区,深房许字（2017）前海,
深圳市万科南苑房地产,万科蛇口公馆,南山区蛇口街道湾厦路,深房许字（2017）南山,
深圳汎达实业发展有限,卓越弥敦道名苑,龙岗区横岗街道,深房许字（2017）龙岗,
深圳市横岗佳兆业投资,佳兆业未来花园（4栋、,龙岗区大运新城如意路,深房许字（2017）龙岗,
深圳市宜泰置业发展有,深城投·中心公馆,坪山区坪山街道兰竹西,深房许字（2017）坪山,
深圳市龙光骏景房地产,龙光玖钻商务中心,龙华区民治街道,深房许字（2017）龙华,
深圳招商华侨城投资有,红山六九七九商业中心,龙华区民治街道办事处,深房许字（2017）龙华,
深圳邦兆房地产开发有,凯旋天玺名庭,龙岗区布吉中兴路和金,深房许字（2017）龙岗,
深圳市金中池投资发展,御景蓝湾公馆,深圳市龙岗区白灰围一,深房许字（2017）龙岗,
深圳麓园房地产开发有,麓园（11-14栋）,深圳市龙岗区盐龙大道,深房许字（2017）龙岗,
深圳市万龙靓投资发展,金域领峰花园2-5栋,龙岗区布吉街道,深房许字（2017）龙岗,
深圳市龙岗天安数码新,天安活力广场,龙岗区龙城街道,深房许字（2017）龙岗,
中粮地产（深圳）实业,中粮云景广场,光明新区松白路南侧、,深房许字(2017)光明00,
宝吉工艺品（深圳）有,佳兆业中央广场二期,龙岗区坂田街道,深房许字（2017）龙岗,
深圳市名居房地产有限,名居广场,龙岗区龙城街道爱联社,深房许字（2017）龙岗,
深圳市碧海投资发展有,京基御景中央花园一期,深圳市龙岗区龙城街道,深房许字（2017）龙岗,
深圳市盛隆兴业投资发,吉祥里豪庭,龙岗区龙城街道白灰围,深房许字（2017）龙岗,
深业泰富物流集团股份,博丰大厦,罗湖区清水河一路,深房许字（2017）罗湖,
深圳市万京投资有限公,恒大城市之光大厦2栋,深圳市龙岗区龙城街道,深房许字（2017)龙岗0,
深圳市龙光骏景房地产,龙光玖钻商务中心,龙华区民治办事处,深房许字（2017）龙华,
深圳市尖莎咀上和房地,红湾盛园,宝安区西乡街道,深房许字（2017）宝安,
深圳市宏发房地产开发,前城滨海花园（A105-1,宝安区西乡街道,深房许字（2017）宝安,
深圳市锦峰城房地产开,中粮祥云广场,龙岗大道西面如意路南,深房许字（2017）龙岗,
深圳市锦峰城房地产开,中粮祥云广场,龙岗大道西面如意路南,深房许字（2017）龙岗,
深圳市创芯置业有限公,中粮创芯研发中心,宝安区新安街道,深房许字（2017）宝安,
深圳市金颐投资发展有,湾景商务中心,深圳市宝安区沙井街道,深房许字（2017）宝安,
深圳市毅骏房地产开发,中海鹿丹名苑（A区）,罗湖区红岭南路与滨河,深房许字（2017）罗湖,
深圳市德瀚投资发展有,招商开元中心一期01地,罗湖区笋岗街道,深房许字（2017）罗湖,
深圳市泰富华澜湾置业,奥园.翡翠东湾花园,坪山区坪山金牛东路以,深房许字（2017）坪山,
深圳市盛迪嘉置地有限,盛迪嘉光明新宝轩,光明新区田寮路北侧、,深房许字（2017）光明,
深圳市宜泰置业发展有,深城投·中心公馆,坪山区坪山街道六合社,深房许字（2017）坪山,
深圳市地铁集团有限公,深湾汇云中心一期,深湾一路与白石四道交,深房许字（2017）南山,
深圳市凯德丰投资有限,拾悦里雅居,深圳市宝安区沙井街道,深房许字（2017）宝安,
深圳市康达尔(集团)股,康达尔山海上园（二期,宝安区西乡街道,深房许字（2017）宝安,
深圳市沙浦巨帆投资有,满京华云著花园（二期,深圳市宝安区松岗街道,深房许字（2017）宝安,
深圳市润科房地产开发,润科华府（一期）,宝安区航城街道,深房许字（2017）宝安,
深圳华侨城房地产有限,香山里花园四期,香山西街与沙河东路交,深房许字（2017）南山,
深圳市鸿荣源实业有限,壹成中心花园（A824-0,深圳市龙华区龙华街道,深房许字(2017)龙华01,
华润置地（深圳）发展,柏瑞花园,南山区科苑大道与海德,深房许字（2017）南山,
深圳市南联投资发展有,八仙岭华庭,深圳市龙岗区龙岗街道,深房许字（2017）龙岗,
深圳市天荣盛房地产开,天汇时代花园一期,风景南路西侧、振发路,深房许字（2017）光明,
深圳市宣威田丰房地产,碧海君庭,宝安区西乡街道,深房许字（2017）宝安,
深圳市百年春投资发展,嘉洲商务中心（A007-0,宝安区新安街道,深房许字（2017）宝安,
深圳市喀斯特中环星苑,中环阳光星苑,龙岗区平湖街道,深房许字（2017）龙岗,
深圳城盛房地产开发有,兰江山第花园二期,深圳市福田区梅林街道,深房许字（2017）福田,
深圳市向西雍睦豪庭房,向西雍睦豪庭,深南东路与东门南路交,深房许字（2017）罗湖,
深圳市乐安房地产有限,远洋新天地家园,深圳市龙岗区龙城街道,深房许字（2017）龙岗,
深圳市凯丰实业有限公,龙光玖龙台（一期）,光明新区高新技术园东,深房许字（2017）光明,
深圳市鸿荣源房地产开,尚峻御园,龙华区大浪办事处民塘,深房许字（2017）龙华,
深圳市万龙靓投资发展,金域领峰花园,龙岗区布吉街道,深房许字（2017）龙岗,
深圳市骏腾置业有限公,龙光玖云著大楼3号楼,坪山区中山大道与振环,深房许字（2017）坪山,
深圳华侨城房地产有限,天鹅湖花园（二期）,南山区侨香路南侧,深房许字（2017）南山,
深圳市骏腾置业有限公,龙光玖云著大楼2号楼,坪山区中山大道与振环,深房许字（2017）坪山,
深圳市泰富华澜湾置业,奥园.翡翠东湾花园,坪山区金牛东路以南、,深房许字（2017）坪山,
深圳市耀凯房地产投资,安峦公馆,福田区,深房许字（2017）福田,
深圳中维菁山房地产开,泰禾广场,深圳市坪山区中山大道,深房许字（2017）坪山,
深圳市地铁集团有限公,汇隆商务中心二期,深圳市龙华新区深圳北,深房许字（2017）龙华,
深圳市深房集团龙岗开,深房翠林苑,龙岗区龙凤路,深房许字（2017）龙岗,
中粮地产集团深圳房地,中粮紫云大厦,深圳市宝安区新安街道,深房许字（2017）宝安,
深圳市锦福城房地产开,宝观城锦鲤大厦,龙华区观湖街道人民路,深房许字（2017）龙华,
深圳市茂兴置业有限公,碧桂园阳光苑,深圳市龙岗区坂田街道,深房许字（2017）龙岗,
东莞骏轩实业有限公司,碧桂园星荟大厦,光明新区南环大道以北,深房许字（2017）光明,
明发集团（深圳）房地,明发光明轩,光明新区田寮路北侧、,深房许字（2017）光明,
深圳市德瀚投资发展有,招商开元中心一期01地,罗湖区笋岗街道,深房许字（2017）罗湖,
深圳龙岗区启迪协信科,启迪协信科技园,盐龙大道东面青春路北,深房许字（2017）龙岗,
深圳市德瀚投资发展有,招商开元中心一期04地,罗湖区笋岗街道,深房许字（2017）罗湖,
深圳市德瀚投资发展有,招商开元中心一期01地,罗湖区笋岗街道,深房许字（2017）罗湖,
深圳凯南房地产开发有,东方盛世花园（二期E.,深圳市龙岗区布吉街道,深房许字（2017）龙岗,
深圳凯南房地产开发有,东方盛世花园（二期E.,深圳市龙岗区笔记街道,深房许字（2017）龙岗,
深圳凯南房地产开发有,东方盛世花园（二期E.,深圳市龙岗区布吉街道,深房许字（2017）龙岗,
深圳市宝安石鸿工贸有,银鸿大楼,深圳市宝安区新安街道,深房许字（2017）宝安,
深圳恒邦伟业投资集团,恒邦时代大厦,福田区华强北,深房许字（2017）福田,
深圳市东方欣悦实业有,安托山花园（一期）,福田区安托山六路,深房许字（2017）福田,
深圳市富上佳房地产开,阳基御龙山家园,龙华区福城办事处,深房许字（2017）龙华,
深圳恒邦伟业投资集团,恒邦时代大厦,福田区华强北,深房许字（2017）福田,
前海君临实业发展（深,恒大天璟大厦,南海大道和登良路交汇,深房许字（2017）南山,
深圳市地铁集团有限公,汇德大厦,龙华区民治街道,深房许字（2017）龙华,
深圳市鹏城置业投资发,珑门名苑（A924-0172）,龙华区观澜福城办事处,深房许字（2017）龙华,
深圳市龙光骏景房地产,龙光玖钻商务中心,龙华区民治办事处,深房许字（2017）龙华,
深圳市鸿荣源房地产开,尚峻花园（一期）,龙华区大浪办事处民塘,深房许字（2017）龙华,
深圳市盛隆兴业投资发,铭德大厦,龙岗区龙城街道白灰围,深房许字（2017）龙岗,
深圳市龙城广场房地产,万科时代广场,龙岗区龙城街道,深房许字（2017）龙岗,
深圳市宜泰置业发展有,深城投·中心公馆,坪山区坪山街道兰竹西,深房许字（2017）坪山,
深圳市龙光骏景房地产,龙光玖钻商务中心,龙华区民治办事处,深房许字（2017）龙华,
深圳市霖梓投资发展有,恒荣立方商厦,宝安区西乡街道,深房许字（2017）宝安,
深圳华侨城城市更新投,宝亭锦园,宝安区沙井街道,深房许字（2017）宝安,
深圳市泰富华澜湾置业,奥园.翡翠东湾花园,坪山区金牛东路以南，,深房许字（2017）坪山,
深圳市润科房地产开发,润科华府(二期）,宝安区西乡鹤洲洲石路,深房许字（2017）宝安,
深圳市星顺房地产开发,星河荣御花苑（二期）,沙井街道,深房许字（2017）宝安,
深圳市骏腾置业有限公,龙光玖云著大楼,坪山区坪山街道中山大,深房许字（2016）坪山,
深圳市信利康电商科技,信利康大厦,深圳市前海深港合作区,深房许字（2017）前海,
运泰建业置业（深圳）,侨城坊（一期）,南山区侨香路北、北环,深房许字（2017）南山,
深圳市地铁集团有限公,深湾汇云中心（二期）,深湾一路与白石四路交,深房许字（2017）南山,
深圳市茂兴置业有限公,碧桂园荣汇花园,深圳市龙岗区坂田街道,深房许字（2017）龙岗,
深圳市华盛置业有限公,华盛新沙荟名庭（三期,宝安区沙井街道,深房许字（2017）宝安,
深圳市乐安房地产有限,远洋新天地家园,深圳市龙岗区龙城街道,深房许字（2017）龙岗,
深圳市向南枫叶投资有,前海枫叶大厦,南山区常兴路与丁头南,深房许字（2016）南山,
深圳市合正房地产集团,丹郡花园,龙岗大道和丹平快速路,深房许字（2016）龙岗,
天基房地产开发(深圳),远洋新干线君域花园,龙岗区龙岗街道,深房许字（2016）龙岗,
深圳市铖源实业发展有,金基吉祥广场,深圳市龙岗区龙岗中心,深房许字（2016）龙岗,
深圳市众驰伟业投资发,华创云轩,深圳市龙岗区坂田街道,深房许字（2016）龙岗,
